	first	answer	prediction	bert	bleu
0	第一条　　１　天皇は、日本国の象徴であり日本国民統合の象徴であつ	て、この地位は、主権の存する日本国民の総意に基く。	て、、この地位は、主権のある日本国民の総意に基く。	0.973896324634552	72.29097794804281
1	第二条　　１　皇位は、世襲のものであつて、国会の議決した皇	室典範の定めるところにより、これを継承する。	室，典，範，の，定，め，る，と，こ，ろ，に，よ，り，、，こ，れ，を，継，承，す，る，。	0.5267970561981201	1.3338359564519315
2	第三条　　１　天皇の国事に関するすべての行為には、内閣の助	言と承認を必要とし、内閣が、その責任を負ふ。	言，と，承，認，を，必，要，と，し，、，内，閣，が，、，そ，の，責，任，を，負，ふ，。	0.592736005783081	1.5155302454113846
3	第四条　　１　天皇は、この憲法の定める国事に関する行為	のみを行ひ、国政に関する権能を有しない。	の，み，を，行，ひ，、，国，政，に，関，す，る，権，能，を，有，し，な，い，。	0.5223717093467712	1.4104555382959003
4	第四条　　２　天皇は、法律の定めるところにより、その	国事に関する行為を委任することができる。	威，力，を，行，使，し、国事を執行する。	0.6774101257324219	3.2342452920962157
5	第五条　　１　皇室典範の定めるところにより摂政を置くときは、	摂政は、天皇の名でその国事に関する行為を行ふ。	内，閣，の助，言，を，受，け、，国，会，の，承，認，を，得，な，け，れ，ば，な，ら，な，い，。	0.5362356305122375	1.099233067148683
6	第五条　　１　この場合には、前条第	一項の規定を準用する。	一，項，に，定，め，る，規，定，が，適，用，さ，れ，る，。	0.5165882110595703	1.6934096677198087
7	第六条　　１　天皇は、国会の指名に基いて	、内閣総理大臣を任命する。	外，国，の，使，節，団，を，派，遣，し，、，国，の，調，停，を，定，め，る，こ，と，が，で，き，る，。	0.4971828758716583	0.9402448118597484
8	第六条　　２　天皇は、内閣の指名に基いて、最高	裁判所の長たる裁判官を任命する。	裁，判，所，長，官，そ，の，他，の，行，政，官，を，任，命，す，る，。	0.5413906574249268	1.6526850525490153
9	第七条　　１　天皇は、内閣の助言と承認により、国民	のために、左の国事に関する行為を行ふ。	の，代，表，と，し，て、，国，務，上，の，行，為，を，な，す，。	0.5857018232345581	1.7345617945636578
10	第八条　　１　皇室に財産を譲り渡し、又は皇室が、財産を譲り受け、若し	くは賜与することは、国会の議決に基かなければならない。	く，は，、，こ，れ，を，財，政，上，の，規，則，に，従，っ，て，、，国，会，の，承，認，を，得，て，な，け，れ，ば，な，ら，な，い，。	0.49727576971054077	0.8781152091398416
11	第九条　　１　日本国民は、正義と秩序を基調とする国際平和を誠実に希求し、国権の発動たる戦争と、武	力による威嚇又は武力の行使は、国際紛争を解決する手段としては、永久にこれを放棄する。	力，に，よ，る，威，嚇，又，は，他，国，の，侵，略，を，お，こ，な，う，こ，と，は，許さ，れ，な，い，。	0.5509160757064819	1.2374317627020204
12	第九条　　２　前項の目的を達するため、陸海空軍	その他の戦力は、これを保持しない。	を，保，持，し，、，こ，れ，を，憲法，の，規，定，に，よ，り，、，適，切，に，維，持，す，る，。	0.5093321800231934	1.1622974570266493
13	第九条　　２　国の交戦権は、	これを認めない。	国，会，の，議，決，に，よ，り，行，う，。	0.4979310631752014	1.8160849415439309
14	第十条　　１　日本国民たる要件は、	法律でこれを定める。	公，民，権，を，有，す，る，者，で，あ，る，こ，と，と，し，、，特，別，の制，限，は，な，い，。	0.4832327365875244	1.0009398039350847
15	第十一条　　１　国民は、すべての基本的人	権の享有を妨げられない。	権，を，有，し，、，平，等，に，そ，の，行，使，を，保，護，さ，れ，る，。	0.5185815095901489	1.4091499441909465
16	第十一条　　１　この憲法が国民に保障する基本的人権は、侵すことのでき	ない永久の権利として、現在及び将来の国民に与へられる。	な，い，自，由，と，尊，厳，と，を，有，し，、，い，か，な，る，政，治，的，、，社，会，的，、，経，済，的，格，差，の，な，い，平，等，の，社，会，を，確，立，す，る，。	0.5023103952407837	0.6627431993381488
17	第十二条　　１　この憲法が国民に保障する自由及び権利は、国民の不	断の努力によつて、これを保持しなければならない。	分，割，な，保，護，の，も，と，に，、，一，人，一，人，が，享，有，し，得，る，権，利，で，あ，る，。	0.5293682813644409	1.0683243644556364
18	第十二条　　１　又、国民は、これを濫用してはならないのであつて、	常に公共の福祉のためにこれを利用する責任を負ふ。	国，民，の，権，利，を，侵，害，し，た，り、，不，当，な，行，為，に，よ，る，損，害，を，加，え，な，い，。	0.48955148458480835	1.0072487110349273
19	第十三条　　１　すべて国民は、個人	として尊重される。	の，平，等，を，尊，重，し，あ，う，義，務，を，負，ふ，。	0.4972149133682251	1.5301683686839007
20	第十三条　　１　生命、自由及び幸福追求に対する国民の権利については、公共の福祉	に反しない限り、立法その他の国政の上で、最大の尊重を必要とする。	を，保，護，す，る，為，に，、，政，府，の，責，任，を，負，ふ，こ，と，を，原，則，と，す，る，。	0.5036715865135193	1.1652512227907519
21	第十四条　　１　すべて国民は、法の下に平等であつて、人種、信条、性別、社会的身分又	は門地により、政治的、経済的又は社会的関係において、差別されない。	は，、，家族，関係，な，ど，に，よ，り，差別，さ，れ，る，こ，と，は，な，い，。	0.6139179468154907	1.725849167169606
22	第十四条　　２　華族その他の貴族の制	度は、これを認めない。	定，を，有，す，る，、，そ，の，権，利，義，務，及，び，慣，習，を，定，め，、，こ，れ，を，公，布，し，、，改，正，す，る，こ，と，が，で，き，る，。	0.48024654388427734	0.6331377889807558
23	第十四条　　３　栄誉、勲章その他の栄典の授与	は、いかなる特権も伴はない。	は，、，天，皇，が，行，ふ，こ，と，を，定，め，る，と，こ，ろ，に，よ，り，、，国，務，大，臣，が，行，ふ，。	0.5270304679870605	0.8699141688737136
24	第十四条　　３　栄典の授与は、現にこれを有し、又は将来これ	を受ける者の一代に限り、その効力を有する。	を，有，す，る，者，に，授，与，す，る，も，の，で，あ，る，。	0.5589065551757812	1.793443763338368
25	第十五条　　１　公務員を選定し、及びこれを罷免す	ることは、国民固有の権利である。	る，権，限，を，共，和，制，国，家，と，し，て，、，国，会，が，定，め，る，。	0.5581814050674438	1.2413584734794654
26	第十五条　　２　すべて公務員は、全体の奉仕者で	あつて、一部の奉仕者ではない。	あ，り，、，国，家，の忠誠，を，誓，ひ，、，国，民，の福，祉，を，尽，力，す，る，義，務，を，負，う，。	0.50718754529953	0.9402448118597484
